"yield.t.ha.","Phosphorus_ppm"
8.5478,55
10.0698,65
9.42982,51
7.86565,33
8.82956,21
9.99567,37
6.59266,21
9.45023,33
9.22613,51
9.5422,12
10.814,37
7.84263,52
8.84337,36
10.0243,32
10.241,46
9.31015,32
8.4092,55
10.2962,42
8.32118,24
7.51419,25
8.94727,29
10.7006,44
10.2338,39
5.21496,28
9.55838,37
8.14399,20
10.0265,60
8.41096,16
10.3087,43
9.01995,47
8.98587,57
9.90633,42
10.6629,30
8.9432,33
8.98804,49
9.15339,31
7.98639,76
10.3505,54
9.4839,48
8.8181,20
10.4893,50
9.77369,28
9.07426,52
9.72947,33
10.3394,45
8.74359,38
9.20646,61
9.19615,61
9.48022,26
9.77389,68
9.09832,26
7.89975,20
10.0229,41
9.8601,42
9.45666,50
9.69687,21
8.50765,29
9.47558,31
8.59851,19
8.78488,29
10.0636,25
8.71435,24
9.70134,24
7.38878,33
9.91495,33
8.85795,29
8.39541,24
9.37835,50
9.17946,26
8.60589,26
9.17504,30
8.23342,29
8.99924,50
7.71985,39
7.53437,37
8.14261,26
7.97606,39
8.1337,30
10.0419,35
9.43372,38
9.20522,40
9.69425,39
9.0695,39
6.73049,14
9.41713,38
6.09382,23
8.44721,31
9.61958,30
7.63501,34
9.33654,24
8.36372,18
10.5473,25
7.02088,30
8.1954,29
7.43242,22
8.81073,18
8.0373,38
9.19163,19
6.08379,12
9.33675,18
6.95512,53
8.67152,22
5.93124,20
6.93231,13
7.37405,9
8.75502,15
10.0515,18
9.22861,35
8.25922,22
7.52438,30
9.19551,15
9.41976,16
9.67149,44
9.67149,44
6.80548,28
7.11627,24
8.56496,25
7.5879,30
9.1604,24
7.19344,26
9.58484,33
9.58484,33
10.4041,44
10.4041,44
11.4744,25
11.4744,25
7.48163,20
6.48344,22
7.91615,13
10.1335,32
8.77138,32
8.10536,11
9.06232,21
8.84077,42
10.3623,23
10.5419,35
5.88585,27
10.3123,35
8.14386,11
10.1802,44
9.04615,18
10.2241,23
10.2469,29
10.3651,19
9.9491,29
11.1233,28
8.34231,14
8.85666,23
9.81882,23
9.9748,25
10.1814,29
8.67014,15
9.23655,29
10.0361,20
8.86534,36
10.103,38
8.00879,10
8.75488,20
7.9485,20
8.45797,20
12.6896,32
8.50198,17
7.33092,8
4.64328,12
10.7937,24
10.6499,11
11.502,24
9.61217,19
8.61357,19
8.7359,25
8.87737,23
9.50397,33
5.85278,17
7.02134,17
8.49078,17
7.58515,21
7.46524,17
7.18003,16
7.23256,29
5.89562,30
7.12288,16
8.75946,22
5.62855,24
5.23934,30
5.9719,31
9.20151,20
13.3027,42
13.5067,42
11.6176,62
14.0479,42
14.4216,42
13.9611,39
10.8339,37
12.9102,38
13.511,45
11.3731,44
13.2791,37
12.7063,54
12.333,65
13.0582,44
12.0513,35
11.9555,37
12.3309,31
11.7773,46
11.7772,46
12.1032,46
11.4676,32
8.20171,39
11.1284,32
10.1945,62
10.2298,28
8.66436,61
10.8044,58
11.2514,59
11.1437,41
7.60067,33
9.93293,53
8.26837,19
10.6533,68
9.87067,59
7.97391,33
10.7639,44
9.44765,33
10.0362,31
9.92817,52
10.004,30
10.8432,24
6.15627,37
11.5082,22
8.66561,31
11.2506,36
6.28854,45
10.527,30
5.41533,55
11.1934,18
7.43743,26
9.89518,48
10.9389,17
5.94067,37
11.5486,44
11.9313,17
10.818,42
11.9352,18
5.41313,15
10.9931,17
11.4146,52
11.1584,38
11.9232,15
0.865646,15
10.953,25.4
10.9493,15
10.7292,43
10.6225,18.2
11.2653,15
10.5584,38.4
11.5681,52.8
11.8058,17
9.45706,48.8
12.21,17
11.3719,15
11.3031,15
9.41074,22.2
9.92802,14.8
10.8484,34.2
10.1743,28
9.365,15.8
10.7618,30.8
10.8921,19
11.2405,27.4
9.63883,20.2
11.5738,19.4
9.85875,13.6
9.47906,28
10.4375,17.8
10.4532,29.4
10.1594,15.4
10.5077,15.6
10.0788,14.2
9.58285,17.6
10.1779,11.4
9.19348,16
9.19348,16
9.35029,13
9.35029,13
8.31506,23
8.31506,23
10.0571,15
10.0571,15
9.36547,17
9.36547,17
9.1417,21
9.1417,21
9.47319,21
9.47319,21
10.4346,15
4.4332,17
9.57921,21
8.94296,21
7.16758,16
9.90712,19
9.34464,12
10.5261,20
9.73134,36
6.62972,36
9.01214,32
6.00548,20
8.85521,12
5.75672,38
5.16875,20
8.98657,38
8.53348,15
9.10428,13
8.92172,11
8.75642,14
8.78177,12
8.55221,28
8.09079,28
9.39189,16
8.87276,27
8.60551,41
8.31906,21
8.84177,15
9.03505,18
8.59518,27
7.85123,25
7.11153,25
8.69733,15
8.36787,18
3.4517,49
4.2776,38
6.7696,15
8.71584,22
3.62333,38
8.26399,19
5.95288,22
7.57905,18
4.84673,19
7.20664,20
8.71441,26
7.59009,32
2.25456,49
5.90793,18
8.43547,26
5.00398,19
8.25953,36
5.07122,18
8.19355,20
8.05583,18
8.63836,15
